CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,ZONECODE,PEBLOCKNO,WORKTYPE,MAINPROCESSCODE,SUBPROCESSCODE,SHOPCODE,DEPTCODE,ACTUALSTARTDATE,ACTUALFINISHDATE,ACTUALDURATION,ACTUALMH,ACTUALPROGRESS,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,PLANMH,VOL1,VOL2,VOL3,OFFSET,DESCUPDOWN,LINEPOSITION,ACTIVITYDESC,WORKCODE,STAGECODE,ZONECODE2,NOTE,NOTEPOSITION,REFKEYEVENT,RESCHEDULEDATE
DHSCMULTI,U705,A11C HF010,A11C,B,,,H,F,1,,,,,0,,,2020-01-28,2020-01-28,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,A11C FB011,A11C,B,,,F,B,1,,,,,0,,,2020-03-09,2020-03-10,2,12,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A11C PB011,A11C,B,,,P,B,1,,,,,0,,,2020-05-08,2020-05-18,7,96.5,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,A11C HF020,A11C,B,,,H,F,2,,,,,0,,,2020-02-05,2020-02-05,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,A11C HA021,A11C,B,,,H,A,2,,,,,0,,,2020-03-04,2020-03-11,6,32.5,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A11C FB021,A11C,B,,,F,B,2,,,,,0,,,2020-04-22,2020-04-29,6,32.2,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A11C HL023,A11C,B,,,H,L,2,,,,,0,,,2020-06-15,2020-06-15,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,A11C HF031,A11C,B,,,H,F,3,,,,,0,,,2020-02-20,2020-02-20,1,13.3,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,A11C HA041,A11C,B,,,H,A,4,,,,,,,,2020-03-17,2020-04-16,23,50.2,,,,,U,,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,A21C HF010,A21C,B,,,H,F,1,,,,,0,,,2020-01-15,2020-01-15,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,A21C HA011,A21C,B,,,H,A,1,,,,,0,,,2020-02-20,2020-03-02,8,33.3,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A21C FB011,A21C,B,,,F,B,1,,,,,0,,,2020-03-24,2020-03-25,2,99.7,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A21C PB011,A21C,B,,,P,B,1,,,,,,,,2020-05-14,2020-05-22,7,88.1,,,,,U,,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,A21C HF020,A21C,B,,,H,F,2,,,,,0,,,2020-01-23,2020-01-23,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,A21C HA021,A21C,B,,,H,A,2,,,,,0,,,2020-03-17,2020-03-26,8,48.2,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A21C FB021,A21C,B,,,F,B,2,,,,,0,,,2020-04-27,2020-05-08,7,236.9,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A21C HL023,A21C,B,,,H,L,2,,,,,0,,,2020-06-15,2020-06-15,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,A21C HF031,A21C,B,,,H,F,3,,,,,0,,,2020-02-11,2020-02-11,1,28.4,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,A21C HA031,A21C,B,,,H,A,3,,,,,0,,,2020-03-05,2020-03-20,12,30,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A21C HA041,A21C,B,,,H,A,4,,,,,0,,,2020-04-01,2020-04-21,15,102.5,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,A31C HF010,A31C,B,,,H,F,1,,,,,0,,,2020-02-13,2020-02-13,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,A31C HA011,A31C,B,,,H,A,1,,,,,0,,,2020-03-17,2020-03-26,8,51.8,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A31C FB011,A31C,B,,,F,B,1,,,,,0,,,2020-04-20,2020-04-21,2,1.8,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A31C PB011,A31C,B,,,P,B,1,,,,,0,,,2020-06-09,2020-06-17,7,94.6,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,A31C HF020,A31C,B,,,H,F,2,,,,,0,,,2020-02-21,2020-02-21,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,A31C HA021,A31C,B,,,H,A,2,,,,,0,,,2020-04-13,2020-04-22,8,75.9,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A31C FB021,A31C,B,,,F,B,2,,,,,0,,,2020-05-26,2020-06-03,7,3,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A31C HL023,A31C,B,,,H,L,2,,,,,0,,,2020-07-06,2020-07-06,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,A31C HF031,A31C,B,,,H,F,3,,,,,,,,2020-03-09,2020-03-09,1,62.4,,,,,U,,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,A31C HA031,A31C,B,,,H,A,3,,,,,0,,,2020-04-01,2020-04-16,12,25.3,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A31C HA041,A31C,B,,,H,A,4,,,,,0,,,2020-04-28,2020-05-21,15,1067.5,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,A41C HF010,A41C,B,,,H,F,1,,,,,0,,,2020-02-19,2020-02-19,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,A41C HA011,A41C,B,,,H,A,1,,,,,0,,,2020-03-23,2020-04-01,8,36.8,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A41C FB011,A41C,B,,,F,B,1,,,,,0,,,2020-04-24,2020-04-27,2,3.6,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A41C PB011,A41C,B,,,P,B,1,,,,,0,,,2020-06-15,2020-06-23,7,120,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,A41C HF020,A41C,B,,,H,F,2,,,,,0,,,2020-02-27,2020-02-27,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,A41C HA021,A41C,B,,,H,A,2,,,,,0,,,2020-04-17,2020-04-28,8,53.4,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A41C FB021,A41C,B,,,F,B,2,,,,,0,,,2020-06-01,2020-06-09,7,12.7,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A41C HL023,A41C,B,,,H,L,2,,,,,0,,,2020-07-06,2020-07-06,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,A41C HF031,A41C,B,,,H,F,3,,,,,0,,,2020-03-13,2020-03-13,1,19.5,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,A41C HA031,A41C,B,,,H,A,3,,,,,,,,2020-04-07,2020-04-22,12,24,,,,,U,,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A41C HA041,A41C,B,,,H,A,4,,,,,0,,,2020-05-07,2020-05-27,15,43.5,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,B14C HF010,B14C,B,,,H,F,1,,,,,,,,2020-01-20,2020-01-20,1,0,,,,,U,,DWG,,0,,,,,
DHSCMULTI,U705,B14C HA011,B14C,B,,,H,A,1,,,,,0,,,2020-02-24,2020-03-04,8,55,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B14C FB011,B14C,B,,,F,B,1,,,,,0,,,2020-04-01,2020-04-02,2,78.7,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B14C PB011,B14C,B,,,P,B,1,,,,,0,,,2020-05-19,2020-05-27,7,95.9,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,B14C HF020,B14C,B,,,H,F,2,,,,,0,,,2020-01-30,2020-01-30,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,B14C HA021,B14C,B,,,H,A,2,,,,,0,,,2020-03-25,2020-04-03,8,80.8,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B14C FB021,B14C,B,,,F,B,2,,,,,0,,,2020-05-04,2020-05-13,7,187.9,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B14C HL023,B14C,B,,,H,L,2,,,,,0,,,2020-06-25,2020-06-25,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,B14C HF031,B14C,B,,,H,F,3,,,,,0,,,2020-02-14,2020-02-14,1,35.3,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,B14C HA031,B14C,B,,,H,A,3,,,,,0,,,2020-03-10,2020-03-30,15,28,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B14C HA041,B14C,B,,,H,A,4,,,,,0,,,2020-04-08,2020-04-24,13,182.2,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,B15C HF010,B15C,B,,,H,F,1,,,,,,,,2020-01-21,2020-01-21,1,0,,,,,U,,DWG,,0,,,,,
DHSCMULTI,U705,B15C HA011,B15C,B,,,H,A,1,,,,,0,,,2020-02-25,2020-03-05,8,55.3,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B15C FB011,B15C,B,,,F,B,1,,,,,0,,,2020-04-02,2020-04-03,2,87.1,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B15C PB011,B15C,B,,,P,B,1,,,,,0,,,2020-05-21,2020-05-29,7,96.5,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,B15C HF020,B15C,B,,,H,F,2,,,,,0,,,2020-01-31,2020-01-31,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,B15C HA021,B15C,B,,,H,A,2,,,,,0,,,2020-03-26,2020-04-06,8,81.2,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B15C FB021,B15C,B,,,F,B,2,,,,,0,,,2020-05-07,2020-05-15,7,207.4,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B15C HL023,B15C,B,,,H,L,2,,,,,0,,,2020-06-25,2020-06-25,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,B15C HF031,B15C,B,,,H,F,3,,,,,0,,,2020-02-17,2020-02-17,1,34.6,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,B15C HA031,B15C,B,,,H,A,3,,,,,0,,,2020-03-11,2020-03-31,15,16.6,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B15C HA041,B15C,B,,,H,A,4,,,,,0,,,2020-04-09,2020-04-27,13,164.7,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,B16C HF010,B16C,B,,,H,F,1,,,,,0,,,2020-01-23,2020-01-23,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,B16C HA011,B16C,B,,,H,A,1,,,,,0,,,2020-02-27,2020-03-09,8,26.4,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B16C FB011,B16C,B,,,F,B,1,,,,,0,,,2020-03-31,2020-04-01,2,62.1,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B16C PB011,B16C,B,,,P,B,1,,,,,0,,,2020-05-22,2020-06-01,7,95.9,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,B16C HF020,B16C,B,,,H,F,2,,,,,,,,2020-02-04,2020-02-04,1,0,,,,,U,,Material import,,0,,,,,
DHSCMULTI,U705,B16C HA021,B16C,B,,,H,A,2,,,,,0,,,2020-03-23,2020-04-01,8,37.8,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B16C FB021,B16C,B,,,F,B,2,,,,,0,,,2020-05-08,2020-05-18,7,149,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B16C HL023,B16C,B,,,H,L,2,,,,,0,,,2020-06-25,2020-06-25,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,B16C HF031,B16C,B,,,H,F,3,,,,,0,,,2020-02-19,2020-02-19,1,37.7,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,B16C HA031,B16C,B,,,H,A,3,,,,,0,,,2020-03-13,2020-03-27,11,15.3,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B16C HA041,B16C,B,,,H,A,4,,,,,0,,,2020-04-07,2020-04-29,17,245.1,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,B24C HF010,B24C,B,,,H,F,1,,,,,0,,,2020-01-30,2020-01-30,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,B24C HA011,B24C,B,,,H,A,1,,,,,0,,,2020-03-03,2020-03-12,8,27.5,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B24C FB011,B24C,B,,,F,B,1,,,,,0,,,2020-04-03,2020-04-06,2,76.9,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B24C PB011,B24C,B,,,P,B,1,,,,,0,,,2020-05-25,2020-06-02,7,99.7,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,B24C HF020,B24C,B,,,H,F,2,,,,,0,,,2020-02-07,2020-02-07,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,B24C HA021,B24C,B,,,H,A,2,,,,,0,,,2020-03-27,2020-04-07,8,39.4,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B24C FB021,B24C,B,,,F,B,2,,,,,0,,,2020-05-11,2020-05-19,7,183.7,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B24C HL023,B24C,B,,,H,L,2,,,,,0,,,2020-06-25,2020-06-25,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,B24C HF031,B24C,B,,,H,F,3,,,,,,,,2020-02-24,2020-02-24,1,38,,,,,U,,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,B24C HA031,B24C,B,,,H,A,3,,,,,0,,,2020-03-18,2020-04-01,11,0,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B24C HA041,B24C,B,,,H,A,4,,,,,0,,,2020-04-10,2020-05-04,15,259.8,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,B25C HF010,B25C,B,,,H,F,1,,,,,0,,,2020-01-30,2020-01-30,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,B25C HA011,B25C,B,,,H,A,1,,,,,0,,,2020-03-03,2020-03-12,8,27.5,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B25C FB011,B25C,B,,,F,B,1,,,,,0,,,2020-04-03,2020-04-06,2,0,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B25C PB011,B25C,B,,,P,B,1,,,,,0,,,2020-05-27,2020-06-04,7,60,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,B25C HF020,B25C,B,,,H,F,2,,,,,0,,,2020-02-07,2020-02-07,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,B25C HA021,B25C,B,,,H,A,2,,,,,0,,,2020-03-30,2020-04-08,8,10.9,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B25C FB021,B25C,B,,,F,B,2,,,,,0,,,2020-05-13,2020-05-21,7,11,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,B25C HL023,B25C,B,,,H,L,2,,,,,0,,,2020-06-25,2020-06-25,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,B25C HF031,B25C,B,,,H,F,3,,,,,,,,2020-02-24,2020-02-24,1,3,,,,,U,,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,B25C HA031,B25C,B,,,H,A,3,,,,,0,,,2020-03-18,2020-04-01,11,61.5,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,B25C HA041,B25C,B,,,H,A,4,,,,,0,,,2020-04-13,2020-05-06,15,0,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,D41C HF010,D41C,B,,,H,F,1,,,,,0,,,2020-02-11,2020-02-11,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,D41C HA011,D41C,B,,,H,A,1,,,,,0,,,2020-03-13,2020-03-24,8,99,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D41C FB011,D41C,B,,,F,B,1,,,,,0,,,2020-04-15,2020-04-16,2,89.5,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,D41C PB011,D41C,B,,,P,B,1,,,,,0,,,2020-06-04,2020-06-12,7,129.7,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,D41C HF020,D41C,B,,,H,F,2,,,,,,,,2020-02-19,2020-02-19,1,0,,,,,U,,Material import,,0,,,,,
DHSCMULTI,U705,D41C HA021,D41C,B,,,H,A,2,,,,,0,,,2020-04-08,2020-04-17,8,146.7,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D41C FB021,D41C,B,,,F,B,2,,,,,0,,,2020-05-20,2020-05-28,7,212.9,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,D41C HL023,D41C,B,,,H,L,2,,,,,0,,,2020-07-06,2020-07-06,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,D41C HF031,D41C,B,,,H,F,3,,,,,0,,,2020-03-05,2020-03-05,1,51,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,D41C HA031,D41C,B,,,H,A,3,,,,,0,,,2020-03-30,2020-04-13,11,80.9,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D41C HA041,D41C,B,,,H,A,4,,,,,0,,,2020-04-22,2020-05-14,14,158,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,D42C HF010,D42C,B,,,H,F,1,,,,,0,,,2020-02-12,2020-02-12,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,D42C HA011,D42C,B,,,H,A,1,,,,,0,,,2020-03-16,2020-03-25,8,78.6,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D42C FB011,D42C,B,,,F,B,1,,,,,0,,,2020-04-16,2020-04-17,2,104,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,D42C PB011,D42C,B,,,P,B,1,,,,,0,,,2020-06-05,2020-06-15,7,130.4,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,D42C HF020,D42C,B,,,H,F,2,,,,,,,,2020-02-20,2020-02-20,1,0,,,,,U,,Material import,,0,,,,,
DHSCMULTI,U705,D42C HA021,D42C,B,,,H,A,2,,,,,0,,,2020-04-08,2020-04-17,8,116.1,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D42C FB021,D42C,B,,,F,B,2,,,,,0,,,2020-05-21,2020-05-29,7,246.8,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,D42C HL023,D42C,B,,,H,L,2,,,,,0,,,2020-07-06,2020-07-06,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,D42C HF031,D42C,B,,,H,F,3,,,,,0,,,2020-03-06,2020-03-06,1,45.2,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,D42C HA031,D42C,B,,,H,A,3,,,,,0,,,2020-03-31,2020-04-14,11,3.9,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D42C HA041,D42C,B,,,H,A,4,,,,,0,,,2020-04-23,2020-05-15,14,125.9,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,D43C HF010,D43C,B,,,H,F,1,,,,,0,,,2020-02-12,2020-02-12,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,D43C HA011,D43C,B,,,H,A,1,,,,,0,,,2020-03-16,2020-03-25,8,53.4,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D43C FB011,D43C,B,,,F,B,1,,,,,0,,,2020-04-16,2020-04-17,2,4.9,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,D43C PB011,D43C,B,,,P,B,1,,,,,0,,,2020-06-04,2020-06-12,7,124,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,D43C HF020,D43C,B,,,H,F,2,,,,,0,,,2020-02-20,2020-02-20,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,D43C HA021,D43C,B,,,H,A,2,,,,,0,,,2020-04-09,2020-04-20,8,24.5,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D43C FB021,D43C,B,,,F,B,2,,,,,0,,,2020-05-20,2020-05-28,7,15.7,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,D43C HL023,D43C,B,,,H,L,2,,,,,0,,,2020-07-08,2020-07-08,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,D43C HF031,D43C,B,,,H,F,3,,,,,0,,,2020-03-06,2020-03-06,1,77.7,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,D43C HA031,D43C,B,,,H,A,3,,,,,0,,,2020-03-31,2020-04-14,11,60.8,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D43C HA041,D43C,B,,,H,A,4,,,,,0,,,2020-04-23,2020-05-15,14,563.2,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,D44C HF010,D44C,B,,,H,F,1,,,,,0,,,2020-02-14,2020-02-14,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,D44C HA011,D44C,B,,,H,A,1,,,,,0,,,2020-03-18,2020-03-27,8,144.8,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D44C FB011,D44C,B,,,F,B,1,,,,,0,,,2020-04-20,2020-04-21,2,4.9,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,D44C PB011,D44C,B,,,P,B,1,,,,,0,,,2020-06-08,2020-06-16,7,124,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,D44C HF020,D44C,B,,,H,F,2,,,,,0,,,2020-02-24,2020-02-24,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,D44C HA021,D44C,B,,,H,A,2,,,,,0,,,2020-04-13,2020-04-22,8,24.5,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D44C FB021,D44C,B,,,F,B,2,,,,,0,,,2020-05-22,2020-06-01,7,15.7,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,D44C HL023,D44C,B,,,H,L,2,,,,,0,,,2020-07-08,2020-07-08,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,D44C HF031,D44C,B,,,H,F,3,,,,,0,,,2020-03-10,2020-03-10,1,77.7,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,D44C HA031,D44C,B,,,H,A,3,,,,,0,,,2020-04-02,2020-04-16,11,36,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,D44C HA041,D44C,B,,,H,A,4,,,,,0,,,2020-04-27,2020-05-19,14,563.2,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,D45C HF010,D45C,B,,,H,F,1,,,,,0,,,2020-02-17,2020-02-17,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,D45C HA011,D45C,B,,,H,A,1,,,,,0,,,2020-03-19,2020-03-30,8,99.8,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
